国籍,身高,年龄,俱乐部,位置,体重,姓名,号码,生日,惯用脚
中国,169CM,23岁,天津权健,中场,66KG,郑达伦(U23),16号,1994-02-11,右脚
中国,173CM,21岁,天津权健,中场,63KG,张修维(U23),8号,1996-03-13,左脚
中国,173CM,22岁,广州富力,中场,65KG,宁安(U23) ,15号,1995-10-08,右脚
中国,CM,22岁,广州富力,中场,KG,朱迪(U23) ,21号,1995-05-03,右脚
中国,170CM,24岁,广州富力,中场,65KG,曾超,14号,1993-01-23,右脚
中国,175CM,24岁,广州富力,中场,65KG,张晨龙,17号,1993-04-27,右脚
中国,179CM,22岁,广州富力,中场,67KG,麦嘉键(U23) ,24号,1995-10-19,右脚
中国,180CM,24岁,广州富力,中场,70KG,王嘉楠,28号,1993-05-31,右脚
中国,170CM,29岁,广州富力,中场,63KG,陈志钊,32号,1988-03-14,右脚
中国,178CM,28岁,广州富力,中场,68KG,李提香,35号,1989-09-09,右脚
巴西,177CM,28岁,广州富力,中场,72KG,乌索,8号,1989-03-10,右脚
巴西,168CM,29岁,广州富力,中场,68KG,雷纳迪尼奥,10号,1988-10-04,右脚
中国,168CM,32岁,广州富力,中场,68KG,卢琳,23号,1985-02-03,右脚
中国,177CM,23岁,广州富力,前锋,70KG,叶楚贵(U23),13号,1994-09-08,右脚
中国,188CM,22岁,广州富力,前锋,75KG,向柏旭(U23),3号,1995-08-09,右脚
澳大利亚,185CM,27岁,广州富力,前锋,72KG,吉安努,9号,1990-01-25,右脚
中国,187CM,19岁,上海上港,守门员,81KG,陈威(U23),34号,1998-02-14,右脚
以色列,180CM,30岁,广州富力,前锋,80KG,扎哈维,7号,1987-07-25,右脚
中国,185CM,20岁,上海上港,守门员,75KG,施晓东(U23),35号,1997-02-26,右脚
中国,188CM,28岁,上海上港,守门员,83KG,孙乐,22号,1989-09-17,右脚
中国,191CM,26岁,上海上港,守门员,83KG,颜骏凌,1号,1991-01-28,右脚
中国,178CM,20岁,上海上港,后卫,KG,魏来(U23),44号,1997-01-02,右脚
中国,175CM,19岁,上海上港,后卫,67KG,张华晨(U23),17号,1998-03-16,右脚
中国,185CM,20岁,上海上港,后卫,67KG,俞豪(U23),36号,1997-09-05,右脚
中国,188CM,20岁,上海上港,后卫,78KG,魏震(U23),13号,1997-02-12,右脚
中国,185CM,24岁,天津权健,中场,79KG,裴帅,6号,1993-01-14,右脚
中国,181CM,30岁,天津权健,中场,71KG,李星灿,29号,1987-09-28,右脚
中国,183CM,28岁,天津权健,中场,78KG,王杰,3号,1989-01-14,右脚
中国,171CM,28岁,天津权健,中场,54KG,孙可,38号,1989-08-26,右脚
中国,176CM,31岁,天津权健,中场,67KG,王晓龙,19号,1986-03-11,右脚
中国,176CM,30岁,天津权健,中场,68KG,王永珀,39号,1987-01-19,右脚
比利时,186CM,28岁,天津权健,中场,73KG,维特塞尔,28号,1989-01-12,右脚
中国,180CM,31岁,天津权健,中场,75KG,赵旭日,7号,1985-12-03,右脚
中国,180CM,22岁,天津权健,前锋,KG,苏缘杰(U23),17号,1995-04-14,右脚
法国,187CM,29岁,天津权健,前锋,84KG,莫德斯特,37号,1988-04-14,右脚
中国,176CM,24岁,上海上港,后卫,73KG,张卫,2号,1993-03-28,右脚
中国,182CM,24岁,上海上港,后卫,70KG,傅欢,23号,1993-07-12,右脚
中国,181CM,24岁,上海上港,后卫,79KG,贺惯,28号,1993-01-25,右脚
中国,187CM,32岁,广州富力,前锋,70KG,肖智,29号,1985-05-28,右脚
中国,185CM,29岁,上海上港,后卫,78KG,汪佳捷,5号,1988-11-15,右脚
中国,181CM,24岁,上海上港,后卫,67KG,张一,18号,1993-08-17,右脚
中国,180CM,28岁,上海上港,后卫,72KG,王燊超,4号,1989-02-08,右脚
中国,184CM,24岁,上海上港,后卫,80KG,石柯,27号,1993-01-08,右脚
葡萄牙,183CM,39岁,上海上港,后卫,78KG,卡瓦略,16号,1978-05-18,右脚
中国,184CM,20岁,上海上港,中场,80KG,雷文杰(U23),24号,1997-01-10,右脚
中国,183CM,20岁,上海上港,中场,73KG,高海生(U23),26号,1997-01-06,右脚
中国,178CM,22岁,上海上港,中场,72KG,郑致云(U23),29号,1995-02-17,右脚
中国,183CM,28岁,上海上港,中场,82KG,蔡慧康,6号,1989-10-10,右脚
中国,178CM,24岁,上海上港,中场,70KG,林创益,15号,1993-01-28,右脚
中国,177CM,19岁,上海上港,中场,72KG,陈彬彬(U23),37号,1998-06-10,右脚
中国,181CM,25岁,上海上港,中场,75KG,李圣龙,14号,1992-07-30,右脚
巴西,179CM,26岁,上海上港,中场,66KG,奥斯卡,8号,1991-09-09,右脚
乌兹别克斯坦,180CM,30岁,上海上港,中场,75KG,艾哈迈多夫,25号,1987-11-25,右脚
中国,186CM,20岁,上海上港,前锋,77KG,高志杰(U23),30号,1997-01-16,右脚
中国,174CM,26岁,上海上港,前锋,66KG,武磊,7号,1991-11-19,右脚
中国,183CM,30岁,上海上港,中场,70KG,于海,21号,1987-06-04,左脚
巴西,180CM,28岁,上海上港,前锋,77KG,埃尔克森,9号,1989-07-13,右脚
巴西,180CM,28岁,天津权健,前锋,72KG,帕托,10号,1989-09-02,右脚
中国,177CM,22岁,上海上港,前锋,75KG,韦世豪(U23),33号,1995-04-08,右脚
中国,185CM,28岁,上海上港,前锋,71KG,吕文君,11号,1989-03-11,右脚
